DeviceID,DLmodel,TimeStamp,EpcohIdx,IterIdx,ExecutionTime,Energy,ExecutionTimePerData,EnergyPerData,CoreFreq,OtimalCoreFreq
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 06:08:18 AM,0,9998,6.477011442184448,6.340987921886971e-05,0.101203303784132,9.907793627948392e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:10:34 AM,0,0,21.866718530654907,0.0001582183809445,0.3416674770414829,2.4721622022593197e-06,1860,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:10:42 AM,0,1,6.846386194229126,4.347995798389117e-05,0.1069747842848301,6.793743434982995e-07,1875,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:10:50 AM,0,2,6.721652507781982,4.0925789425770446e-05,0.1050258204340934,6.394654597776632e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:10:58 AM,0,3,6.5469160079956055,3.9391931822564886e-05,0.1022955626249313,6.154989347275763e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:12:57 AM,0,0,20.65726900100708,0.0001526649586419264,0.3227698281407356,2.3853899787801e-06,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:05 AM,0,1,6.529443979263306,3.8079809261692895e-05,0.10202256217598915,5.949970197139515e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:13 AM,0,2,6.513929128646851,3.757957056760789e-05,0.10178014263510704,5.871807901188733e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:21 AM,0,3,6.488765478134155,3.638187070224019e-05,0.10138696059584618,5.68466729722503e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:28 AM,0,4,6.296868324279785,2.2803525540563797e-05,0.09838856756687164,3.5630508657130933e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:40 AM,0,5,6.572775363922119,3.4439331812328746e-05,0.10269961506128311,5.381145595676367e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:48 AM,0,6,6.537546634674072,3.5305888452794795e-05,0.10214916616678238,5.516545070749187e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:13:56 AM,0,7,6.494620084762573,3.218784057762885e-05,0.1014784388244152,5.029350090254508e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:04 AM,0,8,6.554013252258301,3.1480445614788264e-05,0.10240645706653595,4.918819627310666e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:12 AM,0,9,6.372946262359619,2.0837618731790118e-05,0.09957728534936905,3.255877926842206e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:25 AM,0,10,6.883548974990845,3.662402981321016e-05,0.10755545273423195,5.722504658314088e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:33 AM,0,11,6.569358825683594,3.495277952750525e-05,0.10264623165130615,5.461371801172695e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:41 AM,0,12,6.9613683223724365,4.049878731038835e-05,0.10877138003706932,6.32793551724818e-07,1950,
NVIDIA GeForce RTX 2060 SUPER,VGGNet_imagenet,2023-10-16 08:14:49 AM,0,13,6.747408866882324,3.8792463429106576e-05,0.10542826354503632,6.061322410797903e-07,1950,
